id	varname	value	unit	defaultv	description	information	groupname
244	unp_rociec_tdcgppm	15000	-	0	High level of Total Dissolved Gas	-	Setpoints
245	high_topoil	120	-	0	Maximum top oil temperature	-	Setpoints
246	high_hotspot	150	-	0	Maximum hot spot temperature	-	Setpoints
247	high_bottom	60	-	0	Maximum bottom temperature	-	Setpoints
248	high_bubbling	180	-	0	Maximum bubbling temperature	-	Setpoints
249	pdtankCI	1.93	-	-	Partial discharge main tank	 	diagnostic
250	pdtacpCI	828	-	-	Partial Discharge of Tap Changer	 	diagnostic
251	maintankCI	1.850	-	-	Main Tank conditions	 	diagnostic
252	bushingCI	0.6	-	-	Bushing conditions	 	diagnostic
253	coolradCI	40.17	-	-	Cooler and radiator conditions	 	diagnostic
254	kioskCI	0.04	-	-	Kiosk Condition Index	 	diagnostic
255	cableboxCI	22.4	-	-	Cable and Boxes Condition Index	 	diagnostic
256	externtapCI	22.4	-	-	External Tap Condition Index	 	diagnostic
257	interntapCI	22.4	-	-	Internal Tap Condition Index	 	diagnostic
258	mechnismCI	22.4	-	-	Drive Mechanism Condition Index	 	diagnostic
259	divbraidCI	0	-	-	Diverter braids Condition Index	 	diagnostic
260	divctactCI	0	-	-	Selector and Diverter contacts Condition Index	 	diagnostic
261	compCI	100	%	-	Composite/Combined Condition Index	 	diagnostic
262	dgaCI	0	%	-	DGA Condition Index	 	diagnostic
263	hstCI	40	%	-	Thermal Condition Index	 	diagnostic
264	topCI	90	%	-	Top Oil Condition Index	 	diagnostic
265	boardbpCI	44	%	-	Board Break Down Probability Condition Index	 	nameplate
266	oilbpCI	1	%	-	Oil Break Down Probability Condition Index	 	diagnostic
267	loadCI	1	%	-	Load Condition Index	 	diagnostic
268	tapCI	1	%	-	Tap Changer Condition Index	 	diagnostic
269	bubCI	1	%	-	Bubling Temperature Condition Index	 	diagnostic
270	altitude	30.201	deg	-	GPS Altitude	 	nameplate
271	longitude	99.2	deg	-	GPS Longitude	 	nameplate
272	latitude	101.2	deg	-	GPS Latitude	 	nameplate
273	partial_discharge_tf	1.93	-	-	Partial discharge main tank	OBSERVED CONDITIONS	diagnostic
274	partial_discharge_tc	0.5	-	-	Partial Discharge of Tap Changer	OBSERVED CONDITIONS	diagnostic
275	main_tank	1.850	-	-	Main Tank conditions	OBSERVED CONDITIONS	diagnostic
276	bushings	0.6	-	-	Bushing conditions	OBSERVED CONDITIONS	diagnostic
277	coolers_radiator	9.5	-	-	Cooler and radiator conditions	OBSERVED CONDITIONS	diagnostic
278	kiosk	0.8	-	-	Kiosk Condition Index	OBSERVED CONDITIONS	diagnostic
279	cable_boxes	2.4	-	-	Cable and Boxes Condition Index	OBSERVED CONDITIONS	diagnostic
280	external_tap	7.4	-	-	External Tap Condition Index	OBSERVED CONDITIONS	diagnostic
281	internal_tap	8.4	-	-	Internal Tap Condition Index	OBSERVED CONDITIONS	diagnostic
282	mechnism_cond	9.4	-	-	Drive Mechanism Condition Index	OBSERVED CONDITIONS	diagnostic
283	diverter_braids	8.0	-	-	Diverter braids Condition Index	OBSERVED CONDITIONS	diagnostic
284	diverter_contacts	8.0	-	-	Selector and Diverter contacts Condition Index	OBSERVED CONDITIONS	diagnostic
285	temperature_reading	8.0	%	-	Thermal Condition Index	MEASURED CONDITIONS	diagnostic
286	oil_condition	8.5	%	-	Oil condition Index	MEASURED CONDITIONS	diagnostic
287	paper_condition	8.5	%	-	Paper condition Index	MEASURED CONDITIONS	diagnostic
288	dissolved_gas	8.5	%	-	Dissolved Gas condition Index	MEASURED CONDITIONS	diagnostic
289	cm_replacement_threshold	8.0	%	-	Corrective maintenance score level	 	Intervention
290	pm_replacement_threshold	6.0	%	-	Preventive maintenance score level	 	Intervention
291	em_replacement_threshold	9.8	%	-	Emergency replacement score level	 	Intervention
292	routine_servicing_threshold	0.2	days	-	Routine servicing threshold	 	Intervention
293	end_of_life_threshold	9.8	-	-	End of life score level		INTERVENTION
294	inspec_testing_threshold	0.2	-	-	inspection testing threshold		INTERVENTION
295	condition_monitoring_threshold	0.5	-	-	Condition monitoring threshold		INTERVENTION
296	minimum_repair_threshold	6.0	-	-	Minimum repair threshold		INTERVENTION
297	refurbishment_threshold	6.0	-	-	Refurbishment threshold		INTERVENTION
